year;month;day;hour;weekday;temp;blackout;phases;deenergized;function
2021;10;20;14;3;14.9;0;0;0;1.751
2021;10;20;15;3;14.9;0;0;0;1.727
2021;10;20;16;3;14.4;0;0;0;1.708
2021;10;20;17;3;13.9;0;0;0;1.7
2021;10;20;18;3;13.9;0;0;0;1.708
2021;10;20;19;3;14.1;0;0;0;1.771
2021;10;20;20;3;14.9;0;0;0;1.81
2021;10;20;21;3;13.9;0;0;0;1.79
2021;10;20;22;3;14;0;0;0;1.727
2021;10;20;23;3;12.9;0;0;0;1.582
2021;10;20;24;3;11.9;0;0;0;1.385
2021;10;21;1;4;12;0;0;0;1.177
2021;10;21;2;4;10.9;0;0;0;1.019
2021;10;21;3;4;10.9;0;0;0;0.94
2021;10;21;4;4;9.9;0;0;0;0.897
2021;10;21;5;4;8.9;0;0;0;0.893
2021;10;21;6;4;9.9;0;0;0;0.948
2021;10;21;7;4;10.1;0;0;0;1.141
2021;10;21;8;4;11.9;0;0;0;1.413
2021;10;21;9;4;12.9;0;0;0;1.574
2021;10;21;10;4;15.1;0;0;0;1.684
2021;10;21;11;4;16.9;0;0;0;1.7
2021;10;21;12;4;17.9;0;0;0;1.676
2021;10;21;13;4;16.9;0;0;0;1.641
2021;10;21;14;4;15.9;0;0;0;1.605
2021;10;21;15;4;15.9;0;0;0;1.574
2021;10;21;16;4;15.9;0;0;0;1.574
2021;10;21;17;4;15.9;0;0;0;1.562
2021;10;21;18;4;14.9;0;0;0;1.562
2021;10;21;19;4;14.8;0;0;0;1.653
2021;10;21;20;4;13.9;0;0;0;1.696
2021;10;21;21;4;13.9;0;0;0;1.692
2021;10;21;22;4;13.7;0;0;0;1.633
2021;10;21;23;4;13.9;0;0;0;1.503
2021;10;21;24;4;13.9;0;0;0;1.318
2021;10;22;1;5;15.2;0;0;0;1.125
2021;10;22;2;5;14.9;0;0;0;0.972
2021;10;22;3;5;14.9;0;0;0;0.893
2021;10;22;4;5;15.1;0;0;0;0.85
