year;month;day;hour;weekday;temp;blackout;phases;deenergized
2024;11;20;9;3;7.3;1;3;0
2024;11;20;10;3;8.1;1;3;0
2024;11;20;11;3;9.7;1;3;0
2024;11;20;12;3;10.2;1;3;0
2024;11;20;13;3;11.3;1;3;0
2024;11;20;14;3;10.3;1;3;0
2024;11;20;15;3;9.9;1;3;0
2024;11;20;16;3;9.4;1;3;0
2024;11;20;17;3;9.4;1;3;0
2024;11;20;18;3;9.3;1;3;0
2024;11;20;19;3;10.5;1;3;0
2024;11;20;20;3;9.0;1;3;0
2024;11;20;21;3;8.8;1;3;0
2024;11;20;22;3;8.6;1;3;0
2024;11;20;23;3;8.1;1;0;0
2024;11;20;24;3;7.7;1;0;0
2024;11;21;1;4;5.4;0;0;0
2024;11;21;2;4;6.4;0;0;0
2024;11;21;3;4;5.5;0;0;0
2024;11;21;4;4;4.7;0;0;0
2024;11;21;5;4;0.5;0;0;0
2024;11;21;6;4;0.6;0;0;0
2024;11;21;7;4;0.1;0;0;0
2024;11;21;8;4;0.8;1;4;0
2024;11;21;9;4;0.9;1;4;0
2024;11;21;10;4;1.0;1;4;0
2024;11;21;11;4;0.6;1;4;0
2024;11;21;12;4;0.9;1;4;0
2024;11;21;13;4;0.5;1;4;0
2024;11;21;14;4;1.1;1;4;0
2024;11;21;15;4;1.0;1;4;0
2024;11;21;16;4;0.8;1;4;0
2024;11;21;17;4;0.5;1;4;0
2024;11;21;18;4;0.6;1;4;0
2024;11;21;19;4;-0.3;1;4;0
2024;11;21;20;4;0.6;1;4;0
2024;11;21;21;4;0.5;1;4;0
2024;11;21;22;4;0.5;1;4;0
2024;11;21;23;4;-0.1;0;0;0
2024;11;21;24;4;-0.3;0;0;0
2024;11;22;1;5;-1.3;0;0;0
2024;11;22;2;5;-0.9;0;0;0
2024;11;22;3;5;-1.2;0;0;0
2024;11;22;4;5;-2.8;0;0;0
2024;11;22;5;5;-2.8;0;0;0
2024;11;22;6;5;-2.8;0;0;0
2024;11;22;7;5;-4.2;1;1;0
2024;11;22;8;5;-2.1;1;1;0
2024;11;22;9;5;-1.3;1;1;0
2024;11;22;10;5;-1.2;1;1;0
2024;11;22;11;5;-0.7;1;1;0
2024;11;22;12;5;-0.1;1;1;0
2024;11;22;13;5;0.0;1;1;0
2024;11;22;14;5;0.4;1;1;0
2024;11;22;15;5;0.5;1;1;0
2024;11;22;16;5;0.8;1;1;0
2024;11;22;17;5;0.8;1;1;0
2024;11;22;18;5;0.7;1;1;0
2024;11;22;19;5;2.1;1;1;0
2024;11;22;20;5;0.8;1;1;0
2024;11;22;21;5;0.9;1;1;0
2024;11;22;22;5;2.9;1;1;0
2024;11;22;23;5;2.8;0;0;0
2024;11;22;24;5;2.8;0;0;0
2024;11;23;1;6;2.7;0;0;0
2024;11;23;2;6;2.6;0;0;0
2024;11;23;3;6;2.4;0;0;0
2024;11;23;4;6;0.5;0;0;0
2024;11;23;5;6;0.5;0;0;0
2024;11;23;6;6;0.5;0;0;0
2024;11;23;7;6;0.4;0;0;0
2024;11;23;8;6;0.5;0;0;0
2024;11;23;9;6;0.4;1;1;0
2024;11;23;10;6;0.0;1;1;0
2024;11;23;11;6;0.5;1;1;0
2024;11;23;12;6;0.6;1;1;0
2024;11;23;13;6;0.1;1;1;0
2024;11;23;14;6;0.5;1;1;0
2024;11;23;15;6;0.3;1;1;0
2024;11;23;16;6;-0.8;1;1;0
2024;11;23;17;6;-0.8;1;1;0
2024;11;23;18;6;-0.8;1;1;0
2024;11;23;19;6;-0.3;1;1;0
